split,train_start,test_start,test_end,sharpe,sortino,calmar,max_drawdown,ann_return,ann_vol,win_rate,total_return,trade_count,sharpe_calm,sharpe_volatile,sharpe_crisis,router_w0,router_w1,router_w2,n_collapse_events,train_days,timesteps_used,elapsed_s
3,2005-01-03,2009-01-03,2009-07-03,-2.06814844564469,-2.826643062294581,-2.517112614413414,-0.0027159623910273673,-0.006836383446438665,0.0033055573230347884,0.42028985507246375,-0.0018765317161967277,0.0,2.3859233961848934,-6.282981610374231,-5.345917510778469,0.4077925980091095,0.3282500207424164,0.26395732164382935,0,793,500000,3831.4
4,2005-01-03,2009-07-03,2010-01-03,-1.9914447303263056,-3.0371934270320318,-3.0528488834637004,-0.0010695359128096596,-0.0032651318225301873,0.0016395793333670427,0.4084507042253521,-0.0009210186723398461,0.0,-0.8874509245887141,-3.636767792192376,-1.5917329875182633,0.4129881262779236,0.32910823822021484,0.2579036355018616,0,922,500000,3763.8
5,2005-01-03,2010-01-03,2010-07-03,0.9802239437204097,1.3532208026020551,2.3051880294685274,-0.001985455993231456,0.004576849619152501,0.0046691876386520574,0.48571428571428565,0.0012692513996090948,10.0,3.519791163262493,-1.452864072572288,0.9798835186661026,0.4282572567462921,0.33295589685440063,0.23878689110279083,0,1053,500000,3673.0
6,2005-01-03,2010-07-03,2011-01-03,-2.5807855151794445,-4.335408058737988,-3.511029733315073,-0.00205178780051772,-0.007203888325173824,0.00279135481221669,0.4,-0.002006307342600877,0.0,-6.324020668082831,0.1785043872966629,-2.657312876464513,0.37007391452789307,0.3296639919281006,0.30026209354400635,0,1183,500000,3648.3
7,2005-01-03,2011-01-03,2011-07-03,0.3704504373689786,0.7228506312334934,0.8387608732827847,-0.0016552020434912975,0.001388318795334298,0.0037476504769420787,0.4,0.000385450925966202,2.0,-2.3365681761031785,7.39799018370604,-9.262952878054016,0.39483338594436646,0.3398006558418274,0.2653658986091614,0,1313,500000,3593.6
