crisis,agent,sharpe,ann_return,max_drawdown,n_days
2020 COVID,ARA-PPO (full),-3.1262362862756654,-2.394596672736989,-0.7672899690082959,132
2020 COVID,Buy and Hold,-7.133231438911477,-9.582014886544917,-0.36491873319322854,11
2022 Ukraine War,ARA-PPO (full),-1.8629325173350588,-0.617448913163842,-0.5041101946011523,239
2022 Ukraine War,Buy and Hold,0.13514912879450955,0.06749209375781128,-0.3696322857101256,239
