agent,split,sharpe,total_return,max_drawdown,calmar,sortino,win_rate
ara_ppo,0,-1.4370729339286599,-0.14473190495846944,-0.17447509647520093,-1.0247889378434258,-2.2360601984090644,0.45
ara_ppo,1,-1.1345172631022693,-0.12544547152404484,-0.17866774558144036,-0.8657926920634912,-1.4109630930922432,0.4577114427860697
ara_ppo,2,-0.605314667881134,-0.148743881335913,-0.26825754673064023,-0.7637977088747898,-1.0205414852902186,0.4350282485875706
ara_ppo,3,-0.4568777862678729,-0.04791014203811439,-0.11266401464438573,-0.5273231063437994,-0.4811138603383963,0.5247524752475248
ara_ppo,4,-0.46670261669773005,-0.07216961684721801,-0.2222274227120533,-0.4033593870063731,-0.7555661973819314,0.4577114427860697
ara_ppo,5,3.8680906202498813,0.7056152020342268,-0.08089867525536544,11.861902436841412,7.399896707063905,0.54
ara_ppo,6,-1.9409094601243027,-0.2551738565190551,-0.25814616696500525,-3.5743165522524327,-3.1902282842274525,0.3103448275862069
ara_ppo,7,-1.9554922384545637,-0.24836741964051487,-0.2648286952196781,-2.9857817343157786,-2.7159696416787784,0.4130434782608695
ara_ppo,8,0.796314351361422,0.15265682715695728,-0.2105485036715628,0.9259871047144002,1.0114666580439897,0.5671641791044776
ara_ppo,9,-0.6906286473879444,-0.13033459164268946,-0.27586955017062814,-0.6637443643812693,-0.854097780041187,0.5229885057471264
ara_ppo,10,-1.1942650490694093,-0.2563782627242478,-0.2563782627242475,-1.6847496413720133,-1.2545087980799465,0.5
ara_ppo,11,-1.138235514585267,-0.2531020719120356,-0.2531020719120354,-3.7174609146261455,-1.3961853315694186,0.3076923076923077
ara_ppo,12,-0.5886102274497638,-0.1402873354085401,-0.2437555731198949,-0.7082333970634569,-0.8565139220773357,0.45273631840796014
ara_ppo,13,-1.4550814472581715,-0.2519830298215643,-0.2570380111536309,-1.9144337973578764,-1.7711890736866802,0.4166666666666667
ara_ppo,14,0.4849720821368958,0.10797990621515963,-0.18696823306913168,0.7337328218414451,0.6782391752458136,0.527363184079602
ara_ppo,15,0.559925686832706,0.12855336814801666,-0.15152190737460616,1.0747430655729422,0.9868137444342289,0.504950495049505
