feature,mi_score
realized_vol_21d,0.0913645759009114
atr_14_norm,0.08710004060358223
parkinson_vol_21d,0.08568263391315156
realized_vol_63d,0.0607924013404606
price_to_sma_200,0.05501029319262951
bb_width_20,0.052469327908695185
realized_vol_5d,0.05115101635519714
price_to_sma_21,0.043599852769637515
regime_vol,0.04155801945828319
roc_21,0.04003193228070678
price_to_sma_50,0.03154193416403217
vol_ratio_21_63,0.030960840882414686
cmf,0.030658821753879018
obv_signal,0.030174921768820973
curve_slope_3_12m,0.028892840574878953
roc_5,0.02810218381543983
log_return,0.026842674113988885
price_to_vwap,0.025353919077501175
rel_volume_21,0.024664645396963003
bb_pct_20,0.023687691814852307
event_pressure,0.0233630355749872
days_to_fomc_norm,0.022269661139259433
vol_surprise,0.021769577752790426
rel_volume_5,0.016653722252556236
close_position,0.01652869651601918
fomc_meeting_week,0.01617110045514414
avg_cross_corr_63d,0.016045589600574672
pv_corr_10,0.015738019728483543
days_to_eia_norm,0.011666607777479854
rsi_14_norm,0.010165075341433294
macd_diff,0.009716598749110794
regime_curve,0.00965003647118845
days_to_opec_norm,0.008400243498034143
price_position_63,0.007501227614645778
vol_ratio_5_21,0.00667151755060047
opec_meeting_week,0.006477321206448394
regime_momentum,0.0054613455442913406
regime_trend,0.004297558459728457
roll_period,0.0036140189685078816
month_sin,0.00269597220614326
carry_signal_21d,0.0024536723265855542
avg_cross_corr_21d,0.00024273682505793204
month_cos,0.0002386305449979531
curve_slope_1_3m,0.0
eia_report_day,0.0
quarter_sin,0.0
quarter_cos,0.0
